title,summary,pdf
Joint Forward-Backward Visual Odometry for Stereo Cameras,"  Visual odometry is a widely used technique in the field of robotics and
automation to keep a track on the location of a robot using visual cues alone.
In this paper, we propose a joint forward backward visual odometry framework by
combining both, the forward motion and backward motion estimated from stereo
cameras. The basic framework of LIBVIOS2 is used here for pose estimation as it
can run in real-time on standard CPUs. The complementary nature of errors in
the forward and backward mode of visual odometry helps in providing a refined
motion estimation upon combining these individual estimates. In addition, two
reliability measures, that is, forward-backward relative pose error and
forward-backward absolute pose error have been proposed for evaluating visual
odometry frameworks on its own without the requirement of any ground truth
data. The proposed scheme is evaluated on the KITTI visual odometry dataset.
The experimental results demonstrate improved accuracy of the proposed scheme
over the traditional odometry pipeline without much increase in the system
overload.
",http://arxiv.org/pdf/1912.10293v1
MOMA: Visual Mobile Marker Odometry,"  In this paper, we present a cooperative odometry scheme based on the
detection of mobile markers in line with the idea of cooperative positioning
for multiple robots [1]. To this end, we introduce a simple optimization scheme
that realizes visual mobile marker odometry via accurate fixed marker-based
camera positioning and analyse the characteristics of errors inherent to the
method compared to classical fixed marker-based navigation and visual odometry.
In addition, we provide a specific UAV-UGV configuration that allows for
continuous movements of the UAV without doing stops and a minimal
caterpillar-like configuration that works with one UGV alone. Finally, we
present a real-world implementation and evaluation for the proposed UAV-UGV
configuration.
",http://arxiv.org/pdf/1704.02222v2
"Performance comparison of IEEE 802.11g and IEEE 802.11n in the presence
  of interference from 802.15.4 networks","  In this paper we compare the packet error rate (PER) and maximum throughput
of IEEE 802.11n and IEEE 802.11g under interference from IEEE 802.15.4 by using
MATLAB to simulate the IEEE PHY for 802.11n and 802.11g networks.
",http://arxiv.org/pdf/1308.0678v1
"Scheduling strategies and throughput optimization for the Downlink for
  IEEE 802.11ax and IEEE 802.11ac based networks","  The new IEEE 802.11 standard, IEEE 802.11ax, has the challenging goal of
serving more users compared to its predecessor IEEE 802.11ac, enabling
consistent and reliable streams of data (average throughput) per station. In
this paper we explore some of the IEEE 802.11ax new mechanisms and compare
between the upper bounds on the throughputs of the Downlink unidirectional UDP
Multi Users (MU) triadic based on Multiple-Input-Multiple-Output (MU-MIMO) and
Orthogonal Frequency Division Multiple Access (OFDMA) transmission multiplexing
format in IEEE 802.11ax vs. IEEE 802.11ac in the Single User (SU) and MU modes
for 1, 4, 8, 16, 32 and 64 stations scenario in reliable and unreliable
channels. The comparison is made as a function of the Modulation and Coding
Schemes (MCS) in use. In IEEE 802.11ax we consider two flavors of
acknowledgment operation settings where the maximum acknowledgment windows are
64 or 256 respectively. In SU scenario IEEE 802.11ax upper bounds on the
throughputs outperform IEEE 802.11ac by about 52% and 74% in reliable and
unreliable channels respectively. In MU-MIMO scenario IEEE 802.11ax upper
bounds on the throughputs outperform IEEE 802.11ac by about 59% and 103% in
reliable and unreliable channels respectively. Also, as the number of stations
increases, the advantage of IEEE 802.11ax in terms of the access delay also
increases.
",http://arxiv.org/pdf/1709.04818v1
"Scheduling strategies and throughput optimization for the Uplink for
  IEEE 802.11ax and IEEE 802.11ac based networks","  The new IEEE 802.11 standard, IEEE 802.11ax, has the challenging goal of
serving more Uplink (UL) traffic and users as compared with his predecessor
IEEE 802.11ac, en- abling consistent and reliable streams of data (average
throughput) per station. In this paper we explore several new IEEE 802.11ax UL
scheduling mechanisms and compare between the maximum throughputs of
unidirectional UDP Multi Users (MU) triadic. The evaluation is conducted based
on Multiple-Input-Multiple-Output (MIMO) and Orthogonal Frequency Division
Multiple Acceess (OFDMA) transmission multiplexing format in IEEE 802.11ax vs.
the CSMA/CA MAC in IEEE 802.11ac in the Single User (SU) and MU modes for 1, 4,
8, 16, 32 and 64 stations scenario in reliable and unreliable channels. The
comparison is conducted as a function of the Modulation and Coding Schemes
(MCS) in use. In IEEE 802.11ax we consider two new flavors of ac- knowledgment
operation settings, where the maximum acknowledgment windows are 64 or 256
respectively. In SU scenario IEEE 802.11ax throughputs outperform IEEE 802.11ac
by about 64% and 85% in reliable and unreliable channels respectively. In
MU-MIMO scenario IEEE 802.11ax throughputs outperform IEEE 802.11ac by up to
263% and 270% in reliable and unreliable channels respectively. Also, as the
number of stations increases, the advantage of IEEE 802.11ax in terms of the
access delay also increases.
",http://arxiv.org/pdf/1803.10657v1
Throughput Limits of IEEE 802.11 and IEEE 802.15.3,"  IEEE 802.11 and IEEE 802.15.3 are wireless standards originally designed for
wireless local area network (WLAN) and wireless personal area network (WPAN).
This paper studies MAC throughput analysis of both standards. We present a
comparative analysis of both standards in terms of MAC throughput and bandwidth
efficiency. Numerical results show that the performance of IEEE 802.15.3
transcends IEEE 802.11 in all cases.
",http://arxiv.org/pdf/0911.1504v1
IEEE 802.11ay based mmWave WLANs: Design Challenges and Solutions,"  Millimeter-wave (mmWave) with large spectrum available is considered as the
most promising frequency band for future wireless communications. The IEEE
802.11ad and IEEE 802.11ay operating on 60 GHz mmWave are the two most expected
wireless local area network (WLAN) technologies for ultra-high-speed
communications. For the IEEE 802.11ay standard still under development, there
are plenty of proposals from companies and researchers who are involved with
the IEEE 802.11ay task group. In this survey, we conduct a comprehensive review
on the medium access control layer (MAC) related issues for the IEEE 802.11ay,
some cross-layer between physical layer (PHY) and MAC technologies are also
included. We start with MAC related technologies in the IEEE 802.11ad and
discuss design challenges on mmWave communications, leading to some MAC related
technologies for the IEEE 802.11ay. We then elaborate on important design
issues for IEEE 802.11ay. Specifically, we review the channel bonding and
aggregation for the IEEE 802.11ay, and point out the major differences between
the two technologies. Then, we describe channel access and channel allocation
in the IEEE 802.11ay, including spatial sharing and interference mitigation
technologies. After that, we present an in-depth survey on beamforming training
(BFT), beam tracking, single-user multiple-input-multiple-output (SU-MIMO)
beamforming and multi-user multiple-input-multiple-output (MU-MIMO)
beamforming. Finally, we discuss some open design issues and future research
directions for mmWave WLANs. We hope that this paper provides a good
introduction to this exciting research area for future wireless systems.
",http://arxiv.org/pdf/1803.07808v1
Locally Compact Contractive Local Groups,"  We study locally compact contractive local groups, that is, locally compact
local groups with a contractive pseudo-automorphism. We prove that if such an
object is locally connected, then it is locally isomorphic to a Lie group. We
also prove a related structure theorem for locally compact contractive local
groups which are not necessarily locally connected. These results are local
analogues of theorems for locally compact contractive groups.
",http://arxiv.org/pdf/0909.4565v2
"Local units versus local projectivity. Dualisations: Corings with local
  structure maps","  We unify and generalize different notions of local units and local
projectivity. We investigate the connection between these properties by
constructing elementary algebras from locally projective modules. Dual versions
of these constructions are discussed, leading to corings with local
comultiplications, corings with local counits and rings with local
multiplications.
",http://arxiv.org/pdf/math/0409182v2
Globalizing locally compact local groups,"  Every locally compact local group is locally isomorphic to a topological
group.
",http://arxiv.org/pdf/1003.0963v1
Local Codes with Cooperative Repair in Distributed Storage System,"  Recently, the research on local repair codes is mainly confined to repair the
failed nodes within each repair group. But if the extreme cases occur that the
entire repair group has failed, the local code stored in the failed group need
to be recovered as a whole. In this paper, local codes with cooperative repair,
in which the local codes are constructed based on minimum storage regeneration
(MSR) codes, is proposed to achieve repairing the failed groups. Specifically,
the proposed local codes with cooperative repair construct a kind of mutual
interleaving structure among the parity symbols, that the parity symbols of
each local code, named as distributed local parity, can be generated by the
parity symbols of the MSR codes in its two adjacent local codes. Taking
advantage of the structure given, the failed local groups can be repaired
cooperatively by their adjacent local groups with lower repair locality, and
meanwhile the minimum distance of local codes with cooperative repair is
derived. Theoretical analysis and simulation experiments show that, compared
with codes with local regeneration (such as MSR-local codes and MBR-local
codes), the proposed local codes with cooperative repair have benefits in
bandwidth overhead and repair locality for the case of local groups failure.
",http://arxiv.org/pdf/1602.03084v1
A unified approach to formal local cohomology and local Tate cohomology,"  Let R be a commutative Noetherian ring. We introduce a theory of formal local
cohomology for complexes of R-modules. As an application, we establish some
relations between formal local cohomology, local homology, local cohomology and
local Tate cohomology through some natural isomorphisms. We investigate
vanishing of formal local cohomology modules. Also, we give a characterization
of Cohen-Macaulay complexes.
",http://arxiv.org/pdf/1111.6786v1
